,a_e,a_w,alpha_w,delta,delta_extract,nat_res_regen,I_Ta,conservation_investment,conservation_unit_cost,eta_a,eta_w,w_T,max_radicalized,final_radicalized,wage_cost,conservation_cost,final_resource
0,30.838374290109076,0.3509255252825016,0.36978020804056744,0.8344353997013358,0.05274851666892672,0.05178794272752418,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,,,,63.96754938631078,
1,41.36998302748604,1.23224345840966,0.7208602642261632,0.698666688396795,0.07472280010016039,0.12762022159781533,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,0.5096586057497596,0.010120200232882997,0.0,63.96754938631078,0.9518329769147182
2,67.76110243426152,0.3458294183929748,-1.051519135676224,0.6398165771021741,0.04918108848106564,0.11002733531923867,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,0.08195629354440404,0.06449629330277783,0.0,63.96754938631078,1.195122684189094
3,15.333002948485909,0.11710843035275215,-0.8730833009227066,0.9195513626593167,0.041591138482962954,0.19508253103339868,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,0.08195629354440404,0.06449629330277783,0.0,63.96754938631078,1.6161031280909726
4,57.917876177746244,2.931935546442548,-0.06655664260673921,0.43398043021851507,0.04199789573752573,0.04098413053071839,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,,,,63.96754938631078,
5,93.65350404615174,0.9629344010573095,1.3136529297413926,0.49566892703970955,0.039077610851808796,0.11155869885635293,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,0.08195629354440404,0.06449629330277783,0.0,63.96754938631078,1.369250797880829
6,124.95221468479002,1.6456808048942726,-0.6906719026783441,0.35455652345556976,0.05163962094099609,0.05820262514472874,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,,,,63.96754938631078,
7,43.35514362022466,2.431843442354235,1.791606217418984,0.7136594629465837,0.08984811797468009,0.1037928266366076,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,,,,63.96754938631078,
8,76.42311798200654,2.4230312032191,2.981294624804929,0.7223856284030646,0.024202397695016906,0.10885213284143842,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,0.08195629354440404,0.06449629330277783,0.0,63.96754938631078,1.5996373119963059
9,33.27648590702372,0.8051436992399094,0.1787382058286502,0.7157938195597545,0.05940714729082316,0.09324215138258628,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,0.8003410676051429,0.0021435008082354616,0.0,63.96754938631078,0.8600975190731804
10,83.46442346784984,2.0485526765203246,-1.6006965154870156,0.5557198719729611,0.040550315264346944,0.021285493725026923,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,,,,63.96754938631078,
11,111.36077705695638,0.9348770623624282,0.6989214521520415,0.21085395988088973,0.08688538118852628,0.1073003636629191,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,,,,63.96754938631078,
12,72.66545110072019,1.7712168844677385,-2.8847142055179966,0.20872735413444357,0.03383740268545563,0.19070029035351724,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,0.08195629354440404,0.06449629330277783,0.0,63.96754938631078,1.6804948874657475
13,116.48580483685309,2.283490183191966,-2.0896499817340857,0.6886149339000154,0.01932414387179944,0.09808987146904458,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,0.08195629354440404,0.06449629330277783,0.0,63.96754938631078,1.6452615670706354
14,103.39528907906293,1.946756297819579,-0.20517276921326966,0.22038189653184764,0.06105830422253746,0.10674422097996707,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,0.5607269271501228,0.010356972670664074,0.0,63.96754938631078,0.9756470108402912
15,47.51421868150534,0.4174740464744639,-0.8800899494797925,0.7916374886307181,0.03192916189341816,0.19249923382875445,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,0.08195629354440404,0.06449629330277783,0.0,63.96754938631078,1.701330647784522
16,128.55413173791567,0.24155551406330847,2.6936548574333363,0.8512286731804958,0.01739456489929933,0.19217695324436776,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,0.08195629354440404,0.06449629330277783,0.0,63.96754938631078,1.8370162100366154
17,41.79264075807232,1.580516290353534,2.258250296746266,0.3992795175354795,0.039885066436558154,0.03242720256438122,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,,,,63.96754938631078,
18,120.28243977336352,2.1384658145306696,0.40132909735003386,0.9324054675984532,0.04936333038231422,0.046480259136068465,0.2689975549780426,0.01927204266493492,11.445478838932747,1.5881993947322692,1.3967909182217835,0.7389159521321998,,,,63.96754938631078,
